Investor_ID,Age,Age_Group,Gender,State,City_Tier,Monthly_SIP,Occupation,Income_Range
31,67,60+,Male,Maharashtra,Tier 1,10142.44,Business,10L-20L
32,25,18-29,Female,West Bengal,Tier 1,4585.24,Retired,5L-10L
33,22,18-29,Male,Gujarat,Tier 1,4645.1,Retired,5L-10L
34,31,30-44,Female,Karnataka,Tier 1,4918.34,Retired,5L-10L
35,62,60+,Male,Uttar Pradesh,Tier 1,7916.1,Student,5L-10L
36,50,45-59,Female,Gujarat,Tier 1,3878.23,Retired,5L-10L
37,60,60+,Male,Karnataka,Tier 2,1698.1,Student,Below 5L
38,61,60+,Female,Tamil Nadu,Tier 1,3206.88,Student,5L-10L
39,55,45-59,Male,Uttar Pradesh,Tier 3,2853.91,Retired,5L-10L
40,29,18-29,Female,Tamil Nadu,Tier 1,802.37,Professional,Below 5L
41,20,18-29,Male,Karnataka,Tier 1,8542.54,Retired,5L-10L
42,57,45-59,Male,Karnataka,Tier 1,9548.37,Student,5L-10L
43,46,45-59,Male,Karnataka,Tier 1,2054.73,Retired,5L-10L
44,39,30-44,Female,Uttar Pradesh,Tier 2,2457.78,Professional,5L-10L
45,51,45-59,Male,Tamil Nadu,Tier 1,2435.29,Professional,5L-10L
46,23,18-29,Male,Maharashtra,Tier 1,4141.43,Salaried,5L-10L
47,52,45-59,Female,Maharashtra,Tier 2,3665.66,Business,5L-10L
48,56,45-59,Male,Karnataka,Tier 3,11393.14,Retired,10L-20L
49,33,30-44,Male,Delhi,Tier 2,3901.93,Salaried,5L-10L
50,48,45-59,Male,Maharashtra,Tier 1,1479.54,Salaried,Below 5L
51,66,60+,Female,Tamil Nadu,Tier 1,7382.05,Salaried,5L-10L
52,61,60+,Female,Tamil Nadu,Tier 2,10633.47,Professional,10L-20L
53,32,30-44,Female,Uttar Pradesh,Tier 1,5201.36,Retired,5L-10L
54,63,60+,Female,Tamil Nadu,Tier 1,7731.89,Retired,5L-10L
55,18,18-29,Female,West Bengal,Tier 3,1771.12,Retired,Below 5L
56,61,60+,Female,Gujarat,Tier 2,12002.38,Student,10L-20L
57,37,30-44,Male,Gujarat,Tier 2,891.25,Business,Below 5L
58,40,30-44,Female,West Bengal,Tier 1,11970.89,Student,10L-20L
59,37,30-44,Female,Tamil Nadu,Tier 1,2762.31,Professional,5L-10L
60,49,45-59,Male,Maharashtra,Tier 1,970.94,Salaried,Below 5L
61,63,60+,Female,Gujarat,Tier 1,1500.75,Salaried,Below 5L
62,65,60+,Female,Delhi,Tier 3,23105.74,Student,10L-20L
63,42,30-44,Female,Karnataka,Tier 2,2833.06,Professional,5L-10L
64,64,60+,Female,Gujarat,Tier 1,7938.41,Business,5L-10L
65,25,18-29,Male,Gujarat,Tier 2,3742.64,Business,5L-10L
66,70,60+,Male,Maharashtra,Tier 2,4798.79,Salaried,5L-10L
67,50,45-59,Male,Maharashtra,Tier 1,5560.49,Salaried,5L-10L
68,62,60+,Female,Delhi,Tier 3,5116.23,Retired,5L-10L
69,47,45-59,Male,Uttar Pradesh,Tier 1,32363.0,Student,Above 20L
70,20,18-29,Female,Delhi,Tier 2,4508.47,Salaried,5L-10L
71,41,30-44,Male,Uttar Pradesh,Tier 1,5354.96,Professional,5L-10L
72,29,18-29,Male,Delhi,Tier 2,2648.96,Business,5L-10L
73,48,45-59,Male,West Bengal,Tier 1,1875.99,Business,Below 5L
74,24,18-29,Female,Delhi,Tier 1,3480.04,Professional,5L-10L
75,57,45-59,Male,West Bengal,Tier 3,5262.8,Business,5L-10L
76,34,30-44,Male,Gujarat,Tier 2,2389.24,Student,5L-10L
77,67,60+,Male,Delhi,Tier 3,3962.39,Professional,5L-10L
78,27,18-29,Female,Uttar Pradesh,Tier 1,8934.24,Retired,5L-10L
79,32,30-44,Female,Delhi,Tier 1,3257.16,Business,5L-10L
80,72,60+,Male,Tamil Nadu,Tier 1,4816.12,Student,5L-10L
81,38,30-44,Female,Gujarat,Tier 1,13450.93,Salaried,10L-20L
82,38,30-44,Female,Gujarat,Tier 3,5380.44,Professional,5L-10L
83,46,45-59,Female,Gujarat,Tier 2,2360.79,Salaried,5L-10L
84,59,45-59,Male,Karnataka,Tier 2,4717.37,Retired,5L-10L
85,58,45-59,Male,Delhi,Tier 2,10360.56,Salaried,10L-20L
86,18,18-29,Female,Uttar Pradesh,Tier 1,1329.14,Business,Below 5L
87,38,30-44,Male,Delhi,Tier 1,9172.81,Business,5L-10L
88,72,60+,Male,Delhi,Tier 1,1029.35,Business,Below 5L
89,22,18-29,Male,Maharashtra,Tier 2,16253.55,Business,10L-20L
90,32,30-44,Female,Maharashtra,Tier 1,1369.23,Professional,Below 5L
91,63,60+,Female,Maharashtra,Tier 3,3638.25,Student,5L-10L
92,43,30-44,Male,Karnataka,Tier 1,15573.92,Business,10L-20L
93,28,18-29,Female,Delhi,Tier 1,1670.71,Retired,Below 5L
94,72,60+,Male,Gujarat,Tier 3,5633.92,Retired,5L-10L
95,66,60+,Female,Gujarat,Tier 1,7183.96,Business,5L-10L
96,38,30-44,Male,Tamil Nadu,Tier 3,693.04,Student,Below 5L
97,63,60+,Male,Uttar Pradesh,Tier 1,5009.31,Retired,5L-10L
98,23,18-29,Female,Maharashtra,Tier 1,7635.82,Professional,5L-10L
99,71,60+,Female,Karnataka,Tier 2,17985.97,Student,10L-20L
100,21,18-29,Male,Tamil Nadu,Tier 2,1246.96,Student,Below 5L
101,62,60+,Male,Karnataka,Tier 2,10459.29,Student,10L-20L
102,38,30-44,Female,Gujarat,Tier 3,5462.92,Retired,5L-10L
103,73,60+,Male,Uttar Pradesh,Tier 2,6999.54,Professional,5L-10L
104,71,60+,Female,Delhi,Tier 1,7248.86,Business,5L-10L
105,34,30-44,Male,Gujarat,Tier 3,6938.41,Retired,5L-10L
106,70,60+,Male,Gujarat,Tier 3,13326.62,Student,10L-20L
107,48,45-59,Female,Maharashtra,Tier 2,1156.71,Student,Below 5L
108,61,60+,Female,West Bengal,Tier 2,2165.92,Student,5L-10L
109,40,30-44,Male,Gujarat,Tier 2,12180.62,Student,10L-20L
110,49,45-59,Male,Karnataka,Tier 2,3548.22,Retired,5L-10L
111,61,60+,Female,Delhi,Tier 1,3103.29,Salaried,5L-10L
112,73,60+,Male,West Bengal,Tier 3,4373.55,Salaried,5L-10L
113,53,45-59,Female,Maharashtra,Tier 2,2359.55,Retired,5L-10L
114,51,45-59,Male,Tamil Nadu,Tier 1,5052.9,Salaried,5L-10L
115,69,60+,Male,Gujarat,Tier 2,11074.91,Retired,10L-20L
116,23,18-29,Male,Maharashtra,Tier 1,3018.74,Retired,5L-10L
117,55,45-59,Male,West Bengal,Tier 1,1664.68,Retired,Below 5L
118,39,30-44,Male,Maharashtra,Tier 2,1349.09,Student,Below 5L
119,50,45-59,Female,Maharashtra,Tier 3,6482.12,Business,5L-10L
120,28,18-29,Male,Karnataka,Tier 1,882.05,Salaried,Below 5L
121,72,60+,Female,West Bengal,Tier 3,890.53,Retired,Below 5L
122,40,30-44,Female,West Bengal,Tier 2,16757.93,Professional,10L-20L
123,70,60+,Female,Tamil Nadu,Tier 2,5998.65,Student,5L-10L
124,61,60+,Female,Maharashtra,Tier 3,1548.87,Professional,Below 5L
125,53,45-59,Male,Karnataka,Tier 3,5504.48,Salaried,5L-10L
126,45,45-59,Male,Tamil Nadu,Tier 1,4823.03,Salaried,5L-10L
127,65,60+,Female,Delhi,Tier 3,8052.14,Professional,5L-10L
128,36,30-44,Female,West Bengal,Tier 1,3255.49,Retired,5L-10L
129,60,60+,Male,Karnataka,Tier 1,584.83,Professional,Below 5L
130,60,60+,Other,Maharashtra,Tier 2,3400.52,Retired,5L-10L
131,30,30-44,Male,Gujarat,Tier 3,6376.27,Student,5L-10L
132,30,30-44,Female,Karnataka,Tier 1,16267.15,Retired,10L-20L
133,25,18-29,Male,Delhi,Tier 2,9667.54,Professional,5L-10L
134,60,60+,Male,Tamil Nadu,Tier 2,617.5,Business,Below 5L
135,65,60+,Male,Delhi,Tier 2,1902.83,Student,Below 5L
136,30,30-44,Male,Tamil Nadu,Tier 2,4491.11,Student,5L-10L
137,73,60+,Other,Karnataka,Tier 2,784.6,Professional,Below 5L
138,52,45-59,Other,Tamil Nadu,Tier 1,5026.43,Business,5L-10L
139,44,30-44,Male,Maharashtra,Tier 2,3302.65,Business,5L-10L
140,28,18-29,Male,Uttar Pradesh,Tier 1,6022.85,Salaried,5L-10L
141,38,30-44,Male,Karnataka,Tier 1,1745.68,Business,Below 5L
142,25,18-29,Male,Gujarat,Tier 1,1536.14,Salaried,Below 5L
143,59,45-59,Female,Delhi,Tier 2,12839.33,Retired,10L-20L
144,43,30-44,Male,Delhi,Tier 3,2604.58,Retired,5L-10L
145,47,45-59,Male,Karnataka,Tier 1,18211.66,Retired,10L-20L
146,39,30-44,Male,Gujarat,Tier 1,1369.86,Salaried,Below 5L
147,67,60+,Female,Karnataka,Tier 2,7498.8,Business,5L-10L
148,66,60+,Male,Maharashtra,Tier 1,1625.72,Professional,Below 5L
149,56,45-59,Male,Uttar Pradesh,Tier 3,6790.81,Student,5L-10L
150,67,60+,Female,Uttar Pradesh,Tier 1,2021.14,Business,5L-10L
151,27,18-29,Female,Maharashtra,Tier 3,2515.03,Salaried,5L-10L
152,43,30-44,Female,West Bengal,Tier 2,5625.79,Professional,5L-10L
153,69,60+,Male,Gujarat,Tier 2,670.7,Salaried,Below 5L
154,44,30-44,Female,Karnataka,Tier 1,1915.51,Salaried,Below 5L
155,39,30-44,Other,West Bengal,Tier 1,10235.88,Student,10L-20L
156,30,30-44,Female,Gujarat,Tier 1,2365.77,Professional,5L-10L
157,56,45-59,Male,Gujarat,Tier 2,16098.77,Retired,10L-20L
158,72,60+,Male,West Bengal,Tier 1,1272.92,Business,Below 5L
159,24,18-29,Female,West Bengal,Tier 2,6891.48,Retired,5L-10L
160,69,60+,Female,Maharashtra,Tier 3,1390.72,Salaried,Below 5L
161,60,60+,Male,Maharashtra,Tier 1,7714.73,Student,5L-10L
162,59,45-59,Male,Gujarat,Tier 1,1698.82,Professional,Below 5L
163,29,18-29,Female,Gujarat,Tier 1,10552.47,Student,10L-20L
164,30,30-44,Male,Tamil Nadu,Tier 3,5393.68,Student,5L-10L
165,29,18-29,Male,Maharashtra,Tier 3,11147.69,Professional,10L-20L
166,29,18-29,Female,Gujarat,Tier 1,5444.84,Professional,5L-10L
167,55,45-59,Male,Tamil Nadu,Tier 1,8714.89,Professional,5L-10L
168,20,18-29,Female,West Bengal,Tier 1,10696.95,Student,10L-20L
169,25,18-29,Female,Uttar Pradesh,Tier 2,3664.11,Salaried,5L-10L
170,66,60+,Female,Uttar Pradesh,Tier 2,6095.54,Student,5L-10L
171,48,45-59,Male,Uttar Pradesh,Tier 2,634.74,Salaried,Below 5L
172,30,30-44,Male,Gujarat,Tier 1,3929.51,Business,5L-10L
173,25,18-29,Female,West Bengal,Tier 1,1694.53,Salaried,Below 5L
174,54,45-59,Other,Tamil Nadu,Tier 1,1108.05,Business,Below 5L
175,41,30-44,Female,Gujarat,Tier 2,28727.02,Retired,Above 20L
176,45,45-59,Female,Uttar Pradesh,Tier 1,29662.44,Business,Above 20L
177,21,18-29,Male,Uttar Pradesh,Tier 1,1697.12,Student,Below 5L
178,33,30-44,Male,Uttar Pradesh,Tier 1,11885.61,Retired,10L-20L
179,35,30-44,Female,Karnataka,Tier 1,11866.82,Student,10L-20L
180,21,18-29,Male,West Bengal,Tier 2,19243.1,Student,10L-20L
181,60,60+,Female,Maharashtra,Tier 1,2990.51,Business,5L-10L
182,57,45-59,Male,West Bengal,Tier 3,13941.76,Professional,10L-20L
183,50,45-59,Male,Uttar Pradesh,Tier 1,8112.73,Student,5L-10L
184,62,60+,Male,Gujarat,Tier 1,7138.58,Retired,5L-10L
185,70,60+,Male,Delhi,Tier 2,1923.87,Student,Below 5L
186,44,30-44,Female,Uttar Pradesh,Tier 3,3871.15,Professional,5L-10L
187,71,60+,Male,West Bengal,Tier 3,8256.76,Professional,5L-10L
188,53,45-59,Female,Delhi,Tier 1,9878.8,Student,5L-10L
189,21,18-29,Female,Tamil Nadu,Tier 1,1602.21,Professional,Below 5L
190,53,45-59,Male,Maharashtra,Tier 1,2364.34,Business,5L-10L
191,30,30-44,Male,Tamil Nadu,Tier 1,1386.98,Salaried,Below 5L
192,68,60+,Female,Maharashtra,Tier 2,1320.17,Professional,Below 5L
193,65,60+,Male,Delhi,Tier 1,1699.96,Student,Below 5L
194,31,30-44,Female,Uttar Pradesh,Tier 3,12502.75,Professional,10L-20L
195,59,45-59,Male,Delhi,Tier 2,2751.4,Student,5L-10L
196,54,45-59,Female,Uttar Pradesh,Tier 1,3941.92,Retired,5L-10L
197,64,60+,Male,Tamil Nadu,Tier 2,558.62,Student,Below 5L
198,23,18-29,Male,Uttar Pradesh,Tier 1,7491.27,Retired,5L-10L
199,68,60+,Other,Uttar Pradesh,Tier 3,2202.45,Salaried,5L-10L
200,31,30-44,Male,Karnataka,Tier 1,6590.67,Business,5L-10L
201,60,60+,Male,Delhi,Tier 1,1608.62,Salaried,Below 5L
202,20,18-29,Male,Maharashtra,Tier 1,2866.38,Student,5L-10L
203,42,30-44,Female,West Bengal,Tier 3,4145.12,Salaried,5L-10L
204,51,45-59,Male,Gujarat,Tier 3,5488.48,Retired,5L-10L
205,23,18-29,Male,Gujarat,Tier 3,1400.87,Salaried,Below 5L
206,73,60+,Male,Gujarat,Tier 3,3331.06,Business,5L-10L
207,57,45-59,Male,Delhi,Tier 1,559.36,Professional,Below 5L
208,18,18-29,Female,West Bengal,Tier 2,1211.91,Retired,Below 5L
209,63,60+,Male,Karnataka,Tier 2,2488.83,Salaried,5L-10L
210,65,60+,Male,Delhi,Tier 3,14310.76,Salaried,10L-20L
211,66,60+,Male,Maharashtra,Tier 1,11240.27,Salaried,10L-20L
212,25,18-29,Female,Uttar Pradesh,Tier 2,4210.03,Retired,5L-10L
213,34,30-44,Male,West Bengal,Tier 1,5136.88,Salaried,5L-10L
214,30,30-44,Female,West Bengal,Tier 2,2200.36,Professional,5L-10L
215,36,30-44,Female,Delhi,Tier 2,6041.15,Student,5L-10L
216,58,45-59,Male,West Bengal,Tier 2,1853.31,Salaried,Below 5L
217,52,45-59,Male,Delhi,Tier 2,512.56,Professional,Below 5L
218,67,60+,Male,Delhi,Tier 3,17016.16,Retired,10L-20L
219,50,45-59,Female,Delhi,Tier 3,2903.33,Student,5L-10L
220,62,60+,Female,Maharashtra,Tier 1,4198.27,Retired,5L-10L
221,62,60+,Female,Delhi,Tier 2,1027.32,Student,Below 5L
222,61,60+,Male,Karnataka,Tier 1,4246.65,Professional,5L-10L
223,50,45-59,Other,Tamil Nadu,Tier 1,12132.0,Professional,10L-20L
224,59,45-59,Male,Maharashtra,Tier 1,11004.3,Student,10L-20L
225,68,60+,Female,Karnataka,Tier 1,4813.04,Professional,5L-10L
226,71,60+,Male,Gujarat,Tier 1,10215.46,Business,10L-20L
227,56,45-59,Male,Gujarat,Tier 2,2764.67,Student,5L-10L
228,63,60+,Male,Maharashtra,Tier 1,1569.23,Salaried,Below 5L
229,55,45-59,Male,Tamil Nadu,Tier 2,3237.71,Salaried,5L-10L
230,55,45-59,Male,Delhi,Tier 3,8793.99,Salaried,5L-10L
231,26,18-29,Male,Maharashtra,Tier 1,6635.55,Salaried,5L-10L
232,69,60+,Male,Delhi,Tier 1,2927.75,Salaried,5L-10L
233,65,60+,Male,Delhi,Tier 1,2588.96,Business,5L-10L
234,54,45-59,Male,Gujarat,Tier 2,17166.36,Salaried,10L-20L
235,64,60+,Male,Tamil Nadu,Tier 3,2028.39,Professional,5L-10L
236,18,18-29,Female,Delhi,Tier 1,2341.87,Retired,5L-10L
237,53,45-59,Male,Maharashtra,Tier 2,2633.13,Professional,5L-10L
238,59,45-59,Male,West Bengal,Tier 1,8138.54,Professional,5L-10L
239,55,45-59,Male,Gujarat,Tier 2,9990.94,Business,5L-10L
240,72,60+,Female,Delhi,Tier 2,1723.67,Business,Below 5L
241,19,18-29,Male,Uttar Pradesh,Tier 2,3115.98,Professional,5L-10L
242,27,18-29,Male,Uttar Pradesh,Tier 2,10527.09,Professional,10L-20L
243,71,60+,Female,Uttar Pradesh,Tier 1,2381.24,Salaried,5L-10L
244,68,60+,Male,Gujarat,Tier 2,3086.16,Retired,5L-10L
245,40,30-44,Male,Gujarat,Tier 1,4533.4,Business,5L-10L
246,26,18-29,Male,Maharashtra,Tier 1,5628.34,Retired,5L-10L
247,28,18-29,Male,Maharashtra,Tier 1,2309.28,Retired,5L-10L
248,53,45-59,Male,Karnataka,Tier 1,4788.56,Business,5L-10L
249,73,60+,Male,Delhi,Tier 2,6944.39,Retired,5L-10L
250,59,45-59,Female,Uttar Pradesh,Tier 1,972.04,Salaried,Below 5L
251,55,45-59,Male,Gujarat,Tier 2,36980.99,Business,Above 20L
252,52,45-59,Male,Karnataka,Tier 2,13996.57,Professional,10L-20L
253,30,30-44,Male,Maharashtra,Tier 1,1329.79,Student,Below 5L
254,36,30-44,Male,Tamil Nadu,Tier 1,2516.94,Salaried,5L-10L
255,52,45-59,Male,Gujarat,Tier 2,2152.85,Business,5L-10L
256,69,60+,Female,Tamil Nadu,Tier 1,611.61,Retired,Below 5L
257,47,45-59,Male,Tamil Nadu,Tier 1,3985.54,Professional,5L-10L
258,35,30-44,Female,Uttar Pradesh,Tier 1,1361.23,Student,Below 5L
259,29,18-29,Female,Gujarat,Tier 3,1235.24,Business,Below 5L
260,29,18-29,Male,Karnataka,Tier 1,1683.17,Salaried,Below 5L
261,38,30-44,Female,Karnataka,Tier 2,7626.77,Salaried,5L-10L
262,29,18-29,Male,Gujarat,Tier 2,1191.65,Professional,Below 5L
263,73,60+,Male,West Bengal,Tier 1,5450.64,Salaried,5L-10L
264,45,45-59,Male,Uttar Pradesh,Tier 1,2217.97,Business,5L-10L
265,46,45-59,Male,Delhi,Tier 3,854.28,Professional,Below 5L
266,56,45-59,Male,Tamil Nadu,Tier 3,19571.31,Student,10L-20L
267,58,45-59,Female,Karnataka,Tier 2,5716.9,Business,5L-10L
268,61,60+,Male,Gujarat,Tier 1,1638.33,Salaried,Below 5L
269,68,60+,Female,Maharashtra,Tier 1,4027.92,Student,5L-10L
270,21,18-29,Male,Maharashtra,Tier 2,2959.53,Student,5L-10L
271,48,45-59,Female,West Bengal,Tier 1,1464.04,Professional,Below 5L
272,41,30-44,Male,Gujarat,Tier 1,16745.6,Salaried,10L-20L
273,59,45-59,Male,Delhi,Tier 1,10306.43,Retired,10L-20L
274,68,60+,Male,Maharashtra,Tier 2,2804.12,Student,5L-10L
275,66,60+,Female,Delhi,Tier 2,8825.23,Student,5L-10L
276,35,30-44,Male,Gujarat,Tier 1,1551.16,Business,Below 5L
277,59,45-59,Male,Gujarat,Tier 1,890.08,Professional,Below 5L
278,43,30-44,Male,Tamil Nadu,Tier 1,4239.26,Retired,5L-10L
279,73,60+,Male,Gujarat,Tier 1,2991.65,Salaried,5L-10L
280,61,60+,Male,Delhi,Tier 3,861.92,Salaried,Below 5L
281,72,60+,Male,West Bengal,Tier 1,5477.85,Business,5L-10L
282,37,30-44,Male,Karnataka,Tier 2,9063.52,Retired,5L-10L
283,25,18-29,Female,Maharashtra,Tier 1,4246.67,Salaried,5L-10L
284,68,60+,Male,Maharashtra,Tier 2,777.1,Student,Below 5L
285,50,45-59,Male,West Bengal,Tier 1,2869.51,Student,5L-10L
286,21,18-29,Female,Tamil Nadu,Tier 1,1943.76,Business,Below 5L
287,55,45-59,Male,West Bengal,Tier 3,1304.06,Salaried,Below 5L
288,39,30-44,Male,West Bengal,Tier 1,3958.13,Business,5L-10L
289,53,45-59,Female,Karnataka,Tier 1,837.97,Business,Below 5L
290,65,60+,Male,Delhi,Tier 2,826.18,Professional,Below 5L
291,48,45-59,Male,Delhi,Tier 1,7996.58,Salaried,5L-10L
292,25,18-29,Female,Tamil Nadu,Tier 2,3288.98,Salaried,5L-10L
293,26,18-29,Other,West Bengal,Tier 3,7325.84,Business,5L-10L
294,64,60+,Male,Gujarat,Tier 1,2477.07,Business,5L-10L
295,35,30-44,Female,Karnataka,Tier 2,2655.23,Student,5L-10L
296,52,45-59,Male,Maharashtra,Tier 1,3295.28,Professional,5L-10L
297,41,30-44,Male,Karnataka,Tier 1,2315.57,Business,5L-10L
298,34,30-44,Female,West Bengal,Tier 3,4594.05,Salaried,5L-10L
299,18,18-29,Female,Tamil Nadu,Tier 2,878.42,Professional,Below 5L
300,56,45-59,Male,Gujarat,Tier 1,4575.07,Salaried,5L-10L
301,59,45-59,Male,Uttar Pradesh,Tier 1,6754.15,Professional,5L-10L
302,32,30-44,Female,West Bengal,Tier 1,24780.53,Student,10L-20L
303,72,60+,Male,Karnataka,Tier 1,5573.51,Retired,5L-10L
304,30,30-44,Male,Gujarat,Tier 1,6671.38,Retired,5L-10L
305,40,30-44,Female,West Bengal,Tier 1,5021.81,Business,5L-10L
306,46,45-59,Male,West Bengal,Tier 1,15575.19,Retired,10L-20L
307,48,45-59,Female,Karnataka,Tier 2,8797.7,Salaried,5L-10L
308,54,45-59,Male,Maharashtra,Tier 1,5274.49,Salaried,5L-10L
309,45,45-59,Male,Delhi,Tier 1,2522.42,Professional,5L-10L
310,49,45-59,Male,Karnataka,Tier 3,2461.02,Student,5L-10L
311,24,18-29,Male,West Bengal,Tier 3,7497.37,Business,5L-10L
312,31,30-44,Male,Delhi,Tier 1,13697.26,Business,10L-20L
313,31,30-44,Female,Delhi,Tier 1,21709.91,Salaried,10L-20L
314,49,45-59,Female,Delhi,Tier 3,2021.33,Salaried,5L-10L
315,26,18-29,Female,West Bengal,Tier 1,4981.82,Retired,5L-10L
316,71,60+,Female,West Bengal,Tier 1,6553.33,Business,5L-10L
317,23,18-29,Male,Tamil Nadu,Tier 1,3164.0,Professional,5L-10L
318,68,60+,Female,Maharashtra,Tier 2,1078.31,Student,Below 5L
319,32,30-44,Male,Delhi,Tier 2,2184.27,Business,5L-10L
320,47,45-59,Male,Maharashtra,Tier 1,4123.07,Professional,5L-10L
321,47,45-59,Female,West Bengal,Tier 3,1110.89,Salaried,Below 5L
322,33,30-44,Male,West Bengal,Tier 1,2376.94,Professional,5L-10L
323,40,30-44,Male,Karnataka,Tier 1,1990.3,Professional,Below 5L
324,48,45-59,Female,Uttar Pradesh,Tier 1,2687.95,Business,5L-10L
325,71,60+,Male,Maharashtra,Tier 2,6305.99,Professional,5L-10L
326,29,18-29,Female,Gujarat,Tier 1,3733.19,Business,5L-10L
327,38,30-44,Female,Delhi,Tier 2,2859.48,Retired,5L-10L
328,20,18-29,Female,Karnataka,Tier 2,2106.4,Retired,5L-10L
329,20,18-29,Male,Delhi,Tier 2,6334.28,Professional,5L-10L
330,55,45-59,Male,Delhi,Tier 1,6110.9,Professional,5L-10L
331,39,30-44,Female,Karnataka,Tier 3,3457.3,Student,5L-10L
332,38,30-44,Male,Karnataka,Tier 2,2134.09,Salaried,5L-10L
333,68,60+,Male,Tamil Nadu,Tier 3,8775.34,Retired,5L-10L
334,61,60+,Male,Tamil Nadu,Tier 2,10057.1,Professional,10L-20L
335,33,30-44,Male,Tamil Nadu,Tier 2,9859.15,Professional,5L-10L
336,35,30-44,Female,Maharashtra,Tier 2,2993.4,Professional,5L-10L
337,21,18-29,Female,Gujarat,Tier 1,1966.27,Professional,Below 5L
338,37,30-44,Male,Gujarat,Tier 1,9855.11,Professional,5L-10L
339,62,60+,Male,Maharashtra,Tier 2,19994.84,Student,10L-20L
340,30,30-44,Male,Tamil Nadu,Tier 2,1576.09,Salaried,Below 5L
341,48,45-59,Male,Gujarat,Tier 2,5559.47,Student,5L-10L
342,19,18-29,Male,Tamil Nadu,Tier 1,2499.61,Business,5L-10L
343,47,45-59,Male,West Bengal,Tier 1,3825.99,Student,5L-10L
344,48,45-59,Female,West Bengal,Tier 2,4746.01,Salaried,5L-10L
345,45,45-59,Female,Karnataka,Tier 1,4368.25,Salaried,5L-10L
346,26,18-29,Male,Maharashtra,Tier 1,7670.42,Business,5L-10L
347,28,18-29,Female,Tamil Nadu,Tier 2,18320.34,Business,10L-20L
348,52,45-59,Male,West Bengal,Tier 1,949.92,Salaried,Below 5L
349,66,60+,Female,Maharashtra,Tier 3,6251.22,Retired,5L-10L
350,61,60+,Female,West Bengal,Tier 2,4204.38,Salaried,5L-10L
351,54,45-59,Male,Delhi,Tier 1,3026.43,Business,5L-10L
352,63,60+,Male,Maharashtra,Tier 1,5925.73,Retired,5L-10L
353,68,60+,Male,Maharashtra,Tier 1,11364.03,Business,10L-20L
354,71,60+,Male,West Bengal,Tier 1,5215.87,Student,5L-10L
355,34,30-44,Female,Tamil Nadu,Tier 2,9088.37,Salaried,5L-10L
356,43,30-44,Male,Maharashtra,Tier 1,2249.93,Student,5L-10L
357,21,18-29,Male,Uttar Pradesh,Tier 1,3378.27,Professional,5L-10L
358,50,45-59,Male,Uttar Pradesh,Tier 3,1457.71,Student,Below 5L
359,34,30-44,Female,Delhi,Tier 1,4749.77,Professional,5L-10L
360,59,45-59,Male,West Bengal,Tier 3,7225.05,Salaried,5L-10L
361,25,18-29,Male,Karnataka,Tier 1,4829.42,Business,5L-10L
362,43,30-44,Male,West Bengal,Tier 3,12653.92,Retired,10L-20L
363,60,60+,Male,Uttar Pradesh,Tier 3,10308.18,Retired,10L-20L
